Country,Year,Value
TUR,2000,7.86
TUR,2001,7.56
TUR,2002,7.2
TUR,2003,6.56
TUR,2004,6.64
TUR,2005,6.57
TUR,2006,6.54
TUR,2007,6.94
TUR,2008,6.69
TUR,2009,7.06
TUR,2010,7.02
TUR,2011,6.71
TUR,2012,6.58
TUR,2013,6.79
TUR,2014,6.7
TUR,2015,8.82
TUR,2016,9.65
TUR,2017,10.62
TUR,2018,11.54
TUR,2019,13.14
TUR,2020,14.28
TUR,2021,15.73
USA,2000,6.38
USA,2001,6.42
USA,2002,6.33
USA,2003,6.25
USA,2004,6.33
USA,2005,6.27
USA,2006,6.25
USA,2007,6.35
USA,2008,6.42
USA,2009,6.7
USA,2010,6.62
USA,2011,6.91
USA,2012,6.95
USA,2013,7.27
USA,2014,7.25
USA,2015,7.49
USA,2016,7.56
USA,2017,7.77
USA,2018,7.95
USA,2019,8.11
USA,2020,8.24
USA,2021,8.54
